sheet,id,class,subclass,variable,calculated
sheet2,molu_forest_i,MODIFIED,Forest plantations,interception,FALSE
sheet2,molu_others_i,MODIFIED,Others,interception,FALSE
sheet2,molu_rainfed_i,MODIFIED,Rainfed crops,interception,FALSE
sheet2,molu_settlements_i,MODIFIED,Settlements,interception,FALSE
sheet2,plu_forest_i,PROTECTED,Forest,interception,FALSE
sheet2,plu_glaciers_i,PROTECTED,Glaciers,interception,FALSE
sheet2,plu_grasslands_i,PROTECTED,Natural grasslands,interception,FALSE
sheet2,plu_waterbodies_i,PROTECTED,Natural water bodies,interception,FALSE
sheet2,plu_others_i,PROTECTED,Others,interception,FALSE
sheet2,plu_shrubland_i,PROTECTED,Shrubland,interception,FALSE
sheet2,plu_wetlands_i,PROTECTED,Wetlands,interception,FALSE
sheet2,ulu_forest_i,UTILIZED,Forest,interception,FALSE
sheet2,ulu_grasslands_i,UTILIZED,Natural grasslands,interception,FALSE
sheet2,ulu_waterbodies_i,UTILIZED,Natural water bodies,interception,FALSE
sheet2,ulu_others_i,UTILIZED,Others,interception,FALSE
sheet2,ulu_shrubland_i,UTILIZED,Shrubland,interception,FALSE
sheet2,ulu_wetlands_i,UTILIZED,Wetlands,interception,FALSE
sheet2,malu_industry_lei,MANAGED CONVENTIONAL,Industry,leisure,FALSE
sheet2,malu_crops_lei,MANAGED CONVENTIONAL,Irrigated crops,leisure,FALSE
sheet2,malu_waterbodies_lei,MANAGED CONVENTIONAL,Managed water bodies,leisure,FALSE
sheet2,malu_others1_lei,MANAGED CONVENTIONAL,Others,leisure,FALSE
sheet2,malu_residential_lei,MANAGED CONVENTIONAL,Residential,leisure,FALSE
sheet2,malu_greenhouses_lei,MANAGED NON_CONVENTIONAL,Greenhouses,leisure,FALSE
sheet2,malu_idomestic_lei,MANAGED NON_CONVENTIONAL,Indoor domestic,leisure,FALSE
sheet2,malu_iiindustry_lei,MANAGED NON_CONVENTIONAL,Indoor industry,leisure,FALSE
sheet2,malu_livestock_lei,MANAGED NON_CONVENTIONAL,Livestock and husbandry,leisure,FALSE
sheet2,malu_others2_lei,MANAGED NON_CONVENTIONAL,Others,leisure,FALSE
sheet2,malu_powerandenergy_lei,MANAGED NON_CONVENTIONAL,Power and energy,leisure,FALSE
sheet2,molu_forest_lei,MODIFIED,Forest plantations,leisure,FALSE
sheet2,molu_others_lei,MODIFIED,Others,leisure,FALSE
sheet2,molu_rainfed_lei,MODIFIED,Rainfed crops,leisure,FALSE
sheet2,molu_settlements_lei,MODIFIED,Settlements,leisure,FALSE
sheet2,plu_forest_lei,PROTECTED,Forest,leisure,FALSE
sheet2,plu_glaciers_lei,PROTECTED,Glaciers,leisure,FALSE
sheet2,plu_grasslands_lei,PROTECTED,Natural grasslands,leisure,FALSE
sheet2,plu_waterbodies_lei,PROTECTED,Natural water bodies,leisure,FALSE
sheet2,plu_others_lei,PROTECTED,Others,leisure,FALSE
sheet2,plu_shrubland_lei,PROTECTED,Shrubland,leisure,FALSE
sheet2,plu_wetlands_lei,PROTECTED,Wetlands,leisure,FALSE
sheet2,ulu_forest_lei,UTILIZED,Forest,leisure,FALSE
sheet2,ulu_grasslands_lei,UTILIZED,Natural grasslands,leisure,FALSE
sheet2,ulu_waterbodies_lei,UTILIZED,Natural water bodies,leisure,FALSE
sheet2,ulu_others_lei,UTILIZED,Others,leisure,FALSE
sheet2,ulu_shrubland_lei,UTILIZED,Shrubland,leisure,FALSE
sheet2,ulu_wetlands_lei,UTILIZED,Wetlands,leisure,FALSE
sheet2,malu_industry_n,MANAGED CONVENTIONAL,Industry,non_beneficial,FALSE
