CLASS,SUBCLASS,VARIABLE,VALUE,iso3,sheet,year
OUTFLOW,RESERVED,Environmental,0,ken,sheet1,2007
INFLOW,PRECIPITATION,Rainfall,12.7790835439382,ken,sheet1,2008
INFLOW,PRECIPITATION,Snowfall,0,ken,sheet1,2008
INFLOW,PRECIPITATION,Precipitation recycling,0,ken,sheet1,2008
INFLOW,SURFACE WATER,Main riverstem,0,ken,sheet1,2008
INFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2008
INFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2008
INFLOW,SURFACE WATER,Flood,0,ken,sheet1,2008
INFLOW,GROUNDWATER,Natural,0,ken,sheet1,2008
INFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2008
INFLOW,OTHER,Desalinized,0,ken,sheet1,2008
STORAGE,CHANGE,Surface storage,-0.207007977304349,ken,sheet1,2008
STORAGE,CHANGE,Storage in sinks,0,ken,sheet1,2008
OUTFLOW,ET LANDSCAPE,Protected,1.85268282929838,ken,sheet1,2008
OUTFLOW,ET LANDSCAPE,Utilized,2.85853725159811,ken,sheet1,2008
OUTFLOW,ET LANDSCAPE,Modified,3.3655513017932,ken,sheet1,2008
OUTFLOW,ET LANDSCAPE,Managed,0.110687465075853,ken,sheet1,2008
OUTFLOW,ET UTILIZED FLOW,Protected,0.130201375188172,ken,sheet1,2008
OUTFLOW,ET UTILIZED FLOW,Utilized,0.816059897465136,ken,sheet1,2008
OUTFLOW,ET UTILIZED FLOW,Modified,0.116163736900071,ken,sheet1,2008
OUTFLOW,ET UTILIZED FLOW,Managed,1.29997650653607,ken,sheet1,2008
OUTFLOW,ET INCREMENTAL,Manmade,0.00431592181490165,ken,sheet1,2008
OUTFLOW,ET INCREMENTAL,Natural,1.06242500955338,ken,sheet1,2008
OUTFLOW,SURFACE WATER,Main riverstem,3.3178757875,ken,sheet1,2008
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2008
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2008
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2008
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2008
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2008
OUTFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2008
OUTFLOW,OTHER,Non-utilizable,0,ken,sheet1,2008
OUTFLOW,OTHER,Other,0,ken,sheet1,2008
OUTFLOW,RESERVED,Commited,0.664054025303916,ken,sheet1,2008
OUTFLOW,RESERVED,Navigational,0,ken,sheet1,2008
OUTFLOW,RESERVED,Environmental,0,ken,sheet1,2008
INFLOW,PRECIPITATION,Rainfall,13.1183928861429,ken,sheet1,2009
